                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4852,                 1.5766,                 1.4233,                      1,                0.28586,                0.66675,                0.21693,                 2.0404,                 3.2185,                 2.6267,             0.00045111,             0.00045111,             0.00045111
                     36,                 1.4507,                  1.657,                 1.5639,                      1,                0.28586,                0.66675,                0.21693,                 2.0404,                 3.2185,                 2.6267,             0.00045745,             0.00045745,             0.00045745
                     37,                 1.5481,                 1.5798,                 1.5083,                0.52135,                0.16667,                 0.6175,                0.26135,                 1.9349,                 3.1687,                 2.6856,             0.00046339,             0.00046339,             0.00046339
                     38,                 1.3459,                 1.4087,                 1.3929,                0.52135,                0.16667,                 0.6175,                0.26135,                 1.9349,                 3.1687,                 2.6856,             0.00046894,             0.00046894,             0.00046894
                     39,                 1.4051,                 1.4105,                 1.4029,                0.41797,                0.16667,                 0.5765,                0.23189,                 1.9227,                  3.105,                 2.6125,             0.00047409,             0.00047409,             0.00047409
                     40,                 1.4069,                 1.4184,                 1.3663,                0.41797,                0.16667,                 0.5765,                0.23189,                 1.9227,                  3.105,                 2.6125,             0.00047884,             0.00047884,             0.00047884
                     41,                 1.2115,                 1.3492,                 1.3583,                0.53682,                0.39471,                 0.4826,                0.21591,                 1.9819,                 3.0852,                 2.6837,              0.0004832,              0.0004832,              0.0004832
                     42,                 1.3394,                   1.37,                 1.4469,                0.53682,                0.39471,                 0.4826,                0.21591,                 1.9819,                 3.0852,                 2.6837,             0.00048716,             0.00048716,             0.00048716
                     43,                 1.4461,                 1.5183,                 1.4686,                      1,                0.32122,                 0.5497,                0.21063,                 2.3136,                 3.1403,                 2.8235,             0.00049073,             0.00049073,             0.00049073
                     44,                  1.425,                 1.4438,                 1.3638,                      1,                0.32122,                 0.5497,                0.21063,                 2.3136,                 3.1403,                 2.8235,              0.0004939,              0.0004939,              0.0004939
                     45,                 1.3256,                 1.3613,                 1.3199,                0.94827,                    0.5,                 0.6874,                0.17205,                 2.5158,                 2.9601,                  3.038,             0.00049667,             0.00049667,             0.00049667
                     46,                 1.2733,                   1.37,                 1.2933,                0.94827,                    0.5,                 0.6874,                0.17205,                 2.5158,                 2.9601,                  3.038,             0.00049905,             0.00049905,             0.00049905
                     47,                 1.3141,                 1.4114,                 1.3207,                0.95951,                    0.5,                0.63663,                0.18186,                 2.7346,                 2.8148,                 3.2205,             0.00050103,             0.00050103,             0.00050103
                     48,                 1.4588,                 1.5355,                 1.4397,                0.95951,                    0.5,                0.63663,                0.18186,                 2.7346,                 2.8148,                 3.2205,             0.00050262,             0.00050262,             0.00050262
                     49,                 1.3009,                  1.428,                 1.4143,                0.94318,                    0.5,                0.54423,                 0.1501,                 2.7018,                 3.0334,                  3.043,             0.00050381,             0.00050381,             0.00050381
